generation,best,mean,std,worst
48,12.988409872672513,13.066630495546073,0.07223767125550332,13.173320053068151
49,12.988409872672513,13.048954832393333,0.06448492000672461,13.172004514666936
50,12.988409872672513,13.034267261033781,0.05499579604868489,13.162049935181331
51,12.988409872672513,13.023848857283248,0.04541435611808757,13.140967364599087
52,12.988409872672513,13.011679075886613,0.033956528130110006,13.063818169698585
53,12.988409872672513,13.005540608253453,0.030511132069784414,13.06287388383278
54,12.988409872672513,12.999583487360631,0.02561153060399248,13.06287388383278
55,12.988409872672513,12.992560301728904,0.016427871474521266,13.057583690279023
56,12.988409872672513,12.989793349024644,0.009684334464911366,13.057583690279023
57,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
58,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
59,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
60,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
61,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
62,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
63,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
64,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
65,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
66,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
67,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
68,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
69,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
70,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
71,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
72,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
73,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
74,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
75,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
76,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
77,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
78,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
79,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
80,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
81,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
82,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
83,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
84,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
85,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
86,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
87,12.988409872672513,12.988409872672515,1.7763568394002505e-15,12.988409872672513
